probe_id	probeset_id
1000004	7931932
1000054	8130174
1000088	8009007
1000103	7927245
1000103	7927332
1000103	7927572
1000113	8093766
1000116	8064977
1000130	8117188
100014	7980860
1000166	7960987
1000172	8049494
1000182	8153769
1000237	7894581
1000250	8022276
1000258	7995802
1000270	8081203
1000297	7928791
1000306	7938815
1000322	7972806
1000343	8074926
1000343	8105943
1000343	8105996
1000343	8111456
1000343	8112495
1000343	8112559
1000343	8124473
1000348	8095531
1000356	7962809
1000365	8058452
1000373	8174378
1000378	8086371
1000385	8148643
1000391	8091961
1000411	8117810
1000411	8177741
1000422	8168566
1000443	8108567
1000478	8044106
1000488	7902450
1000488	7903584
1000534	8098754
1000536	8064395
1000541	8143985
1000544	8102231
1000591	8087841
1000605	8162193
1000619	7892559
100062	8037296
1000621	8138802
1000629	8052580
1000641	8008925
1000670	8090937
1000700	8149251
1000726	7901926
1000792	8000481
1000868	7962825
1000871	7963548
1000872	8022812
1000932	7958480
100096	8112812
1000962	7985188
1000980	8076755
1000986	7973445
1001084	8116586
1001090	8090436
1001095	7981609
1001118	8135138
100115	7990081
1001164	8003127
1001168	8140619
1001173	8025318
10012	8075907
1001214	7989479
1001287	7923278
1001328	7901706
1001333	8035515
1001339	8106169
100137	7990920
100137	7990969
1001373	8107469
1001382	8026531
1001394	8077527
1001440	8060531
1001444	8059389
100161	8037310
1001633	8170233
1001641	7908158
1001680	7932798
1001730	7900406
1001750	8074777
1001804	8138044
1001823	8154952
100183	7948104
1001874	7990079
1001939	7949542
1001943	7944981
1001953	7986535
1001959	8161939
1001983	8117690
1002055	8119060
1002058	8015294
1002169	8087949
1002176	8065709
1002181	7927511
1002185	8150198
1002192	8074260
1002207	8007549
1002240	8037752
100226	8170643
1002268	7904954
1002289	7970379
1002316	8148418
1002356	8099236
1002362	8105643
1002495	7962084
1002499	8081209
1002555	8056050
1002579	8127926
1002616	7976568
1002643	8070180
1002644	7990756
1002731	8090504
1002794	8144289
1002907	7926935
1002984	8046998
1003017	8116927
1003045	7900158
1003046	8126576
1003087	8120755
1003097	7973017
1003115	8011330
1003121	8131197
1003164	7993610
1003165	8108626
1003180	8088851
1003217	8042039
100322	7949897
100322	7960897
100324	7990014
1003275	8166942
1003330	7966014
1003336	8123581
1003399	8076459
1003431	8158827
1003480	7998662
1003480	8013353
1003486	8169471
1003499	8122804
1003556	7983909
1003556	8180393
1003556	8180395
1003583	8167557
1003604	7988568
1003613	8089600
1003629	7954742
1003666	8149862
1003670	7912901
1003714	8151412
1003720	8161746
1003721	8144306
1003726	8107097
1003731	8062479
1003838	8095526
1003846	8150560
1003942	8085913
1003954	8057818
1003970	8171296
1003979	7974472
1003982	8041541
1003983	8110964
1003986	7962227
1004007	7937231
1004040	7910355
1004048	7969287
1004063	8005201
1004068	7998840
1004083	8163453
1004085	8092842
1004123	7913295
1004140	7914920
1004141	7936935
1004146	8076247
1004203	8090031
1004230	8075907
1004243	8065226
1004261	7943346
1004271	8041641
1004307	7931524
1004316	7963411
1004337	8118321
1004354	8071672
1004377	8145330
1004408	8093153
1004479	8148931
1004487	8090491
1004521	7927973
1004526	7993178
1004571	8156845
1004578	8138501
1004612	7902768
1004621	8044209
1004733	7895687
1004749	8108207
1004758	7925664
1004789	7927079
1004792	7987776
1004859	8063527
1004881	8172657
1004894	7929041
1004896	8148641
1004903	8122278
1004976	8115038
1004985	7959776
1005001	7983931
1005013	8052937
1005080	8022405
1005086	8136838
1005141	8030679
1005174	8116569
1005183	8037297
1005188	8010341
1005211	7959584
1005231	7946000
1005294	7937011
1005333	8156284
1005347	8032233
100536	8025831
1005391	8151651
1005396	8021978
1005456	8117325
1005464	7898277
1005465	7905743
1005468	8103905
1005487	7961302
1005488	7952391
1005501	8146432
1005522	8148326
1005536	7997490
1005559	8167477
1005570	8159681
1005621	7978691
1005682	7902198
1005685	7911272
100570	8026340
1005704	8096410
1005732	8017842
1005788	7993166
1005797	8113100
1005811	8168621
1005812	7997320
1005893	7986331
1005910	8064395
1005995	8150878
1006000	8061145
1006018	7934949
100610	7893773
1006131	7950443
