probe_id	probeset_id
1000004	7931932
1000011	8006591
1000030	8028497
1000033	8135028
1000039	7977152
1000043	8009958
1000062	7948831
1000067	8139827
1000072	8165852
1000078	8048076
1000088	8009007
1000113	8093766
1000116	8064977
1000128	8043683
100014	7980860
1000159	7910355
1000166	7960987
1000172	8049494
100018	8100126
1000182	8153769
1000187	7995223
1000198	8165769
1000198	8176340
1000223	8144888
1000246	8139771
1000250	8022276
1000258	7995802
1000270	8081203
100028	8048076
1000297	7928791
1000306	7938815
1000322	7972806
1000324	8077792
100033	7957125
1000337	8027344
1000339	8003805
1000343	8074926
1000343	8105943
1000343	8105996
1000343	8111456
1000343	8112495
1000343	8112559
1000343	8124473
1000348	8095531
1000356	7962809
1000361	7924498
1000365	8058452
1000373	8174378
1000374	7949071
1000378	8086371
1000385	8148643
1000391	8091961
1000411	8117810
1000411	8177741
1000422	8168566
1000439	7919304
1000443	8108567
1000456	7971575
1000478	8044106
1000515	8117794
1000515	8117803
1000515	8117816
1000515	8117864
1000515	8124907
1000515	8177735
1000515	8178495
1000515	8179043
1000515	8179083
1000515	8179747
1000523	7981983
1000523	7981987
1000524	7931203
1000534	8098754
1000536	8064395
1000541	8143985
1000544	8102231
1000591	8087841
100060	8032138
1000605	8162193
100062	8037296
1000620	8075518
1000621	8138802
1000629	8052580
1000631	8064755
1000638	8062175
1000641	8008925
1000677	7961879
1000692	8003570
1000700	8149251
1000726	7901926
1000759	7945741
1000762	7898374
1000774	7898376
1000774	7898412
1000774	7912801
1000774	7912851
1000774	7919152
1000774	7919270
1000774	7919350
1000774	7919393
1000774	7919577
1000774	7973897
1000774	7978569
1000792	8000481
1000799	8076545
1000821	7977783
1000827	8074885
1000868	7962825
1000869	7998663
1000871	7963548
1000872	8022812
1000919	8122042
1000932	7958480
1000957	8113665
100096	8112812
1000962	7985188
1000973	8153335
1000980	8076755
1000982	8115658
1000986	7973445
1000998	8124024
1001006	8032066
100101	7984498
1001032	7919190
1001043	8028159
1001070	8036237
1001084	8116586
1001090	8090436
1001103	8051243
1001118	8135138
100115	7990081
1001164	8003127
1001168	8140619
1001173	8025318
1001193	8018737
10012	8075907
1001209	8087359
100124	8113556
1001287	7923278
1001295	8080245
1001306	8081297
1001339	8106169
1001373	8107469
1001376	7913016
1001382	8026531
1001390	8022746
1001434	7932551
1001440	8060531
1001444	8059389
1001453	8137932
1001463	7898408
1001487	7904905
1001500	8092001
100152	8098930
1001575	8057932
100161	8037310
1001631	7918793
1001633	8170233
1001641	7908158
1001647	8073954
1001655	7910212
1001680	7932798
1001687	8104165
1001688	7919599
100170	8088733
1001730	7900406
1001733	7904714
1001733	7919130
1001747	8103880
1001750	8074777
1001767	7988288
1001816	7997739
1001821	8028105
1001823	8154952
100183	7948104
1001874	7990079
100192	7930560
1001923	8161422
1001929	7942676
100193	8152245
1001939	7949542
1001953	7986535
1001959	8161939
1001970	8082274
1001983	8117690
1001985	7919569
1002055	8119060
1002058	8015294
1002059	7931471
1002098	8071979
1002107	8107047
1002159	8039165
1002169	8087949
1002176	8065709
1002181	7927511
1002185	8150198
1002192	8074260
1002207	8007549
100221	8062963
1002240	8037752
1002255	7999305
100226	8170643
1002268	7904954
