probe_id	probeset_id
803537	7897626
876657	7897659
409297	7897659
716408	7897664
898663	7897666
412634	7897686
221150	7897725
95406	7897725
215990	7897726
992117	7897727
234860	7897727
36149	7897736
102366	7897739
293214	7897739
492155	7897755
822892	7897755
481959	7897756
1056096	7897756
712320	7897760
466244	7897761
911457	7897761
437234	7897763
756507	7897635
909673	7897800
144668	7897802
228302	7897802
368714	7897802
474372	7897802
1044176	7897802
650107	7897802
9935	7897802
483830	7897802
501770	7897802
343783	7897807
365138	7897807
828907	7897828
422486	7897872
560079	7897875
772284	7897875
887893	7897884
792748	7897891
76287	7897959
605495	7897768
1049062	7897773
559019	7897971
324285	7897972
287969	7897976
445970	7897976
27289	7897976
762965	7897976
402029	7897979
697744	7897981
974177	7897981
1046078	7897981
987959	7897988
375505	7897988
155848	7897988
239116	7897989
1030306	7898110
318550	7898111
118939	7898111
255596	7898111
511444	7898111
1065224	7898117
593404	7898118
696521	7898118
200775	7898120
1055544	7898121
596524	7898122
385382	7898155
999727	7898173
304205	7898180
995929	7898188
554876	7898188
220213	7898210
986829	7898217
639107	7898217
1020936	7898229
855449	7898248
1007437	7898259
817627	7898259
36142	7898260
638894	7898270
156756	7898270
808251	7898277
611420	7898277
642288	7898277
51288	7898277
942546	7898277
183283	7898277
142108	7898277
1080407	7898277
469229	7898277
807074	7898277
1005464	7898277
360526	7898277
90331	7898277
433050	7898277
848019	7898308
528979	7898313
679724	7898315
114973	7898327
290734	7898327
784831	7898336
864142	7898349
490349	7898399
436552	7898408
948547	7898408
437577	7898433
212014	7898436
436988	7898440
965307	7898440
900354	7898442
531491	7898442
743979	7898447
705439	7898451
272466	7898452
94386	7898476
345464	7898503
264789	7898514
253261	7898519
98438	7898519
1087083	7898519
804818	7898520
52875	7898532
913813	7898534
448519	7898534
986034	7898534
1026241	7898544
527824	7898561
520804	7898561
985674	7898608
45894	7898608
647905	7898608
669918	7898608
1088648	7898608
747398	7898608
672193	7898608
373301	7898608
67461	7898612
421291	7898621
801697	7898621
1087107	7898621
301975	7898621
148246	7898625
167646	7898641
1097378	7898654
739052	7898654
1020539	7898658
423115	7898658
472852	7898672
926882	7898672
944818	7898672
219077	7898672
5576	7898672
323381	7898674
538114	7898691
968507	7898691
854276	7898692
519924	7898700
592837	7898709
994707	7898709
670589	7898715
858330	7898715
919280	7898715
200560	7898715
692741	7898716
513625	7898716
499666	7898716
1060397	7898717
1010433	7898722
77230	7898722
665308	7898722
223620	7898722
446175	7898722
307631	7898722
1078967	7898722
798573	7898722
421412	7898722
