probe_id	probeset_id	x	y
803537	7897621	286	765
876657	7897649	956	834
409297	7897649	846	389
716408	7897664	307	682
898663	7897664	912	855
412634	7897686	1033	392
221150	7897715	649	210
95406	7897715	905	90
215990	7897715	739	205
992117	7897715	916	944
234860	7897715	709	223
36149	7897729	448	34
102366	7897738	515	97
293214	7897738	263	279
492155	7897754	754	468
822892	7897754	741	783
481959	7897754	8	459
1056096	7897754	845	1005
712320	7897754	419	678
466244	7897754	43	444
911457	7897754	56	868
437234	7897754	433	416
756507	7897633	506	720
909673	7897775	372	866
144668	7897802	817	137
228302	7897802	451	217
368714	7897802	163	351
474372	7897802	821	451
1044176	7897802	475	994
650107	7897802	156	619
9935	7897802	484	9
483830	7897802	829	460
501770	7897802	919	477
343783	7897804	432	327
365138	7897804	787	347
828907	7897825	456	789
422486	7897861	385	402
560079	7897861	428	533
772284	7897861	533	735
887893	7897878	642	845
792748	7897891	1047	754
498083	7897954	382	474
498083	8005627	382	474
747868	7897954	267	712
747868	8005627	267	712
567191	7897954	190	540
567191	8005627	190	540
986682	7897954	731	939
986682	8005627	731	939
656141	7897954	940	624
656141	8005627	940	624
76287	7897956	686	72
605495	7897754	694	576
1049062	7897754	111	999
559019	7897967	418	532
324285	7897967	884	308
287969	7897975	268	274
445970	7897975	769	424
27289	7897975	1038	25
762965	7897975	664	726
541135	7897979	384	515
541135	7912596	384	515
541135	7912611	384	515
590925	7897979	824	562
590925	7912596	824	562
590925	7912611	824	562
402029	7897979	928	382
1073474	7897979	373	1022
1073474	7912596	373	1022
1073474	7912611	373	1022
697744	7897979	543	664
974177	7897979	826	927
15795	7897979	44	15
15795	7898021	44	15
15795	7898027	44	15
15795	7898035	44	15
15795	7898049	44	15
15795	7912562	44	15
15795	7912596	44	15
15795	7912611	44	15
1046078	7897979	277	996
987959	7897988	958	940
375505	7897988	654	357
155848	7897988	447	148
239116	7897988	765	227
602539	7897998	888	573
602539	7912586	888	573
602539	7912602	888	573
602539	7912618	888	573
225500	7898008	799	214
225500	7898013	799	214
225500	7898041	799	214
225500	7912548	799	214
225500	7912556	799	214
225500	7912568	799	214
225500	7912576	799	214
225500	7912583	799	214
597835	7898013	384	569
597835	7898041	384	569
597835	7912548	384	569
279959	7898021	658	266
279959	7898035	658	266
279959	7912562	658	266
279959	7912596	658	266
279959	7912611	658	266
77581	7898021	930	73
77581	7898035	930	73
77581	7912562	930	73
77581	7912596	930	73
77581	7912611	930	73
504951	7898021	950	480
504951	7898035	950	480
504951	7912562	950	480
504951	7912596	950	480
504951	7912611	950	480
780057	7898021	956	742
780057	7898027	956	742
780057	7898035	956	742
780057	7898049	956	742
780057	7912562	956	742
780057	7912596	956	742
780057	7912611	956	742
840768	7898021	767	800
840768	7898035	767	800
840768	7912562	767	800
840768	7912596	767	800
840768	7912611	767	800
4656	7898021	455	4
4656	7898035	455	4
4656	7898049	455	4
4656	7912562	455	4
51875	7898021	424	49
51875	7898035	424	49
51875	7912562	424	49
374242	7898027	441	356
374242	7898049	441	356
353911	7898027	60	337
353911	7898049	60	337
837030	7898027	179	797
837030	7898049	179	797
21511	7898027	510	20
21511	7898049	510	20
867648	7898027	347	826
867648	7898049	347	826
1030306	7898103	255	981
318550	7898103	399	303
