MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000276759.2	a	g	60327.00	0.033	0.9736	-++
ENSG00000048649.12	a	g	60327.00	0.569	0.5693	+-+
ENSG00000183248.10	a	g	60327.00	1.736	0.08257	+++
ENSG00000223117.1	a	g	60327.00	-0.026	0.9789	+--
ENSG00000136522.12	a	g	60327.00	-0.860	0.3896	-+-
ENSG00000160703.14	a	g	60327.00	1.908	0.05641	++-
ENSG00000142186.15	a	g	60327.00	2.527	0.01152	+-+
ENSG00000185043.9	a	g	60327.00	1.780	0.07506	+++
ENSG00000206150.3	a	g	60327.00	-1.310	0.1901	---
ENSG00000243489.3	a	g	60327.00	1.470	0.1414	+-+
ENSG00000116171.15	a	g	60327.00	-0.145	0.8847	++-
ENSG00000134897.12	a	g	60327.00	1.304	0.1922	++-
ENSG00000112773.14	a	g	60327.00	-0.669	0.5033	---
ENSG00000078246.14	a	g	60327.00	-2.484	0.013	---
ENSG00000120697.7	a	g	60327.00	-1.323	0.1858	---
ENSG00000115827.12	a	g	60327.00	0.971	0.3318	-++
ENSG00000065613.12	a	g	60327.00	1.617	0.1058	+-+
ENSG00000151150.19	a	g	60327.00	0.848	0.3965	-++
ENSG00000154025.14	a	g	60327.00	1.490	0.1362	+-+
ENSG00000162997.14	a	g	60327.00	1.266	0.2056	+++
ENSG00000102317.16	a	g	60327.00	4.335	1.459e-05	+++
ENSG00000142856.15	a	g	60327.00	-0.499	0.6178	--+
ENSG00000138834.11	a	g	60327.00	0.186	0.8523	++-
ENSG00000035928.13	a	g	60327.00	0.769	0.4416	--+
ENSG00000134909.17	a	g	60327.00	0.616	0.5379	+++
ENSG00000122678.13	a	g	60327.00	1.371	0.1704	+++
ENSG00000188306.6	a	g	60327.00	-0.051	0.9594	+--
ENSG00000198033.10	a	g	60327.00	0.550	0.5822	-++
ENSG00000273777.3	a	g	60327.00	1.412	0.1579	+-+
ENSG00000125691.11	a	g	60327.00	-0.165	0.8692	-+-
ENSG00000101079.19	a	g	60327.00	-0.849	0.3961	---
ENSG00000142657.19	a	g	60327.00	-1.515	0.1298	--+
ENSG00000218018.2	a	g	60327.00	1.132	0.2574	+++
ENSG00000269058.4	a	g	60327.00	1.133	0.2572	-++
ENSG00000047617.13	a	g	60327.00	1.892	0.05854	+++
ENSG00000143179.11	a	g	60327.00	-0.060	0.9524	-+-
ENSG00000116984.11	a	g	60327.00	0.934	0.3505	+++
ENSG00000241162.3	a	g	60327.00	-0.312	0.7552	+-+
ENSG00000167792.10	a	g	60327.00	1.520	0.1286	+-+
ENSG00000184465.14	a	g	60327.00	0.827	0.408	+++
ENSG00000135480.13	a	g	60327.00	0.365	0.7151	-+-
ENSG00000238244.3	a	g	60327.00	-1.556	0.1198	-+-
ENSG00000198173.4	a	g	60327.00	-0.956	0.3391	+--
ENSG00000152495.9	a	g	60327.00	-1.919	0.05495	---
ENSG00000147894.13	a	g	60327.00	1.601	0.1094	+++
ENSG00000116688.15	a	g	60327.00	-1.014	0.3105	-+-
ENSG00000213199.6	a	g	60327.00	0.410	0.6816	+--
ENSG00000159307.17	a	g	60327.00	-1.677	0.0935	---
ENSG00000174938.13	a	g	60327.00	-0.360	0.7189	+--
ENSG00000262180.1	a	g	60327.00	-0.951	0.3416	---
ENSG00000042753.10	a	g	60327.00	-2.615	0.008932	---
ENSG00000099804.7	a	g	60327.00	-0.390	0.6965	--+
ENSG00000161547.13	a	g	60327.00	0.580	0.5616	++-
ENSG00000144681.9	a	g	60327.00	-0.323	0.7467	-+-
ENSG00000112237.11	a	g	60327.00	0.654	0.5129	+++
ENSG00000099957.15	a	g	60327.00	0.704	0.4814	+-+
ENSG00000133639.4	a	g	60327.00	-1.507	0.1318	-+-
ENSG00000173239.12	a	g	60327.00	0.650	0.5154	++-
ENSG00000112062.9	a	g	60327.00	-0.945	0.3448	-+-
ENSG00000202389.1	a	g	60327.00	0.603	0.5467	-++
ENSG00000165283.14	a	g	60327.00	1.540	0.1236	+++
ENSG00000073861.2	a	g	60327.00	-1.143	0.2531	--+
ENSG00000166262.14	a	g	20105.00	-0.001	0.9994	??-
ENSG00000214429.3	a	g	60327.00	0.823	0.4104	+++
ENSG00000173715.14	a	g	60327.00	-1.200	0.23	-++
ENSG00000108389.8	a	g	60327.00	1.326	0.185	+++
ENSG00000175471.18	a	g	60327.00	0.401	0.6886	+-+
ENSG00000085117.10	a	g	60327.00	0.895	0.3707	-++
ENSG00000197763.11	a	g	60327.00	0.789	0.4302	++-
ENSG00000126353.3	a	g	60327.00	-2.024	0.04294	---
ENSG00000131876.15	a	g	60327.00	1.128	0.2594	++-
ENSG00000279636.2	a	g	60327.00	-1.383	0.1665	+--
ENSG00000013293.5	a	g	60327.00	0.050	0.9605	-++
ENSG00000131203.11	a	g	60327.00	0.871	0.3838	+++
ENSG00000139405.14	a	g	60327.00	2.027	0.04267	+++
ENSG00000163633.9	a	g	60327.00	-0.381	0.7031	-++
ENSG00000012048.18	a	g	60327.00	0.382	0.7021	-+-
ENSG00000118596.10	a	g	60327.00	2.157	0.03099	+++
ENSG00000135870.10	a	g	60327.00	-0.311	0.7558	+--
ENSG00000065989.14	a	g	60327.00	-1.870	0.06152	--+
ENSG00000104081.12	a	g	60327.00	-1.185	0.2359	--+
